﻿Kode Perusahaan;Nama Perusahaan;Tanggal Pencatatan
AADI;PT Adaro Andalan Indonesia Tbk;05/12/2024
AALI;Astra Agro Lestari Tbk;09/12/1997
ABBA;Mahaka Media Tbk;03/04/2002
ABDA;Asuransi Bina Dana Arta Tbk;06/07/1989
ABMM;ABM Investama Tbk;06/12/2011
ACES;PT Aspirasi Hidup Indonesia Tbk;06/11/2007
ACRO;PT Samcro Hyosung Adilestari Tbk.;11/01/2024
ACST;PT Acset Indonusa Tbk.;24/06/2013
ADCP;PT Adhi Commuter Properti Tbk;21/05/2021
ADES;Akasha Wira International Tbk Tbk;13/06/1994
ADHI;PT Adhi Karya (Persero) Tbk.;18/03/2004
ADMF;Adira Dinamika Multi Finance Tbk;31/03/2004
ADMG;Polychem Indonesia Tbk;20/10/1993
ADMR;PT Alamtri Minerals Indonesia Tbk;03/01/2022
ADRO;Alamtri Resources Indonesia Tbk;16/07/2008
AEGS;PT Anugerah Spareparts Sejahtera Tbk.;11/09/2023
AGAR;PT Asia Sejahtera Mina Tbk;02/12/2019
AGII;PT Samator Indo Gas Tbk;28/09/2016
AGRO;PT Bank Raya Indonesia Tbk;08/08/2003
AGRS;PT Bank IBK Indonesia Tbk.;22/12/2014
AHAP;Asuransi Harta Aman Pratama Tbk;14/09/1990
AIMS;PT Artha Mahiya Investama Tbk;20/07/2001
AISA;PT FKS Food Sejahtera Tbk;11/06/1997
AKKU;PT Anugerah Kagum Karya Utama Tbk;01/11/2004
AKPI;Argha Karya Prima Ind. Tbk;18/12/1992
AKRA;PT AKR Corporindo Tbk.;03/10/1994
AKSI;PT Mineral Sumberdaya Mandiri Tbk;13/07/2001
ALDO;Alkindo Naratama Tbk;12/07/2011
ALII;PT Ancara Logistics Indonesia Tbk;07/02/2024
ALKA;Alakasa Industrindo Tbk;12/07/1990
ALMI;Alumindo Light Metal Industry Tbk;02/01/1997
ALTO;Tri Banyan Tirta Tbk;10/07/2012
AMAG;Asuransi Multi Artha Guna Tbk;23/12/2005
AMAN;PT Makmur Berkah Amanda Tbk.;13/03/2020
AMAR;PT Bank Amar Indonesia Tbk.;09/01/2020
AMFG;Asahimas Flat Glass Tbk;08/11/1995
AMIN;PT Ateliers Mecaniques D Indonesie Tbk.;10/12/2015
AMMN;PT Amman Mineral Internasional Tbk.;07/07/2023
AMMS;PT Agung Menjangan Mas Tbk;04/08/2022
AMOR;PT Ashmore Asset Management Indonesia Tbk.;14/01/2020
