Kode;Tgl Surat;Jenis Kewajiban;Jenis Sanksi;JumlahDenda;Tahun;Sumber;Kode Saham;Nama Perusahaan;Tanggal Masuk;Tanggal Keluar;Kriteria
FLMC;02/01/2023 00:00;Permintaan Penjelasan;SP1;0;2023;Sanksi;;;;;
JSKY;02/01/2023 00:00;Permintaan Penjelasan;SP1;;2023;Sanksi;;;;;
HOTL;04/01/2023 00:00;Permintaan Penjelasan;SP2;;2023;Sanksi;;;;;
JSKY;04/01/2023 00:00;Permintaan Penjelasan;SP2;;2023;Sanksi;;;;;
MTWI;04/01/2023 00:00;Permintaan Penjelasan;SP1;;2023;Sanksi;;;;;
NUSA;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
PLAS;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
RIMO;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
SIMA;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
SKYB;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
TDPM;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
TRAM;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
TRIL;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
UNIT;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
SUGI;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
LCGP;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
LABA;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
HOTL;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
HOME;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
DEAL;05/01/2023 00:00;Public Expose;SP1;;2023;Sanksi;;;;;
COWL;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
BUVA;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
ARMY;05/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
RONY;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
PURE;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
PLAN;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
MTRA;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
MAGP;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
MABA;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
KBRI;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
GOLL;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
FLMC;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
ENVY;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
DUCK;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
CPRI;06/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
MABA;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
MAGP;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
MTRA;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
PURE;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
PLAS;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
LMAS;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
SIMA;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
SQMI;09/01/2023 00:00;Public Expose;SP1;;2023;Sanksi;;;;;
TRIL;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
NUSA;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
LCGP;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
UNIT;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
KBRI;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
HOME;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
GOLL;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
ENVY;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
DUCK;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
DADA;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
COWL;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
BKSL;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
ARMY;09/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
SUGI;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
SKYB;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
TRAM;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
TDPM;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
RIMO;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
HOTL;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
LABA;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
BUVA;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
NUSA;10/01/2023 00:00;Keterbukaan Informasi;SP1;;2023;Sanksi;;;;;
JSKY;10/01/2023 00:00;Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
BAJA;11/01/2023 00:00;Permintaan Penjelasan;SP1;0;2023;Sanksi;;;;;
CARE;11/01/2023 00:00;Public Expose;SP1;;2023;Sanksi;;;;;
FLMC;11/01/2023 00:00;Permintaan Penjelasan;SP1;0;2023;Sanksi;;;;;
GHON;11/01/2023 00:00;Public Expose;SP1;;2023;Sanksi;;;;;
IIKP;11/01/2023 00:00;Permintaan Penjelasan;SP1;;2023;Sanksi;;;;;
NASI;11/01/2023 00:00;Permintaan Penjelasan;SP1;0;2023;Sanksi;;;;;
SOSS;11/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
ARII;12/01/2023 00:00;Laporan Eksplorasi;SP1;;2023;Sanksi;;;;;
MEDC;12/01/2023 00:00;Laporan Eksplorasi;SP1;0;2023;Sanksi;;;;;
ZINC;12/01/2023 00:00;Laporan Eksplorasi;SP1;;2023;Sanksi;;;;;
JSKY;13/01/2023 00:00;Public Expose;SP1;;2023;Sanksi;;;;;
MDRN;13/01/2023 00:00;Public Expose;SP2;2000000;2023;Sanksi;;;;;
DEAL;13/01/2023 00:00;Salah Saji Laporan Keuangan;SP2;25000000;2023;Sanksi;;;;;
ARII;17/01/2023 00:00;Permintaan Penjelasan;SP2;;2023;Sanksi;;;;;
FLMC;17/01/2023 00:00;Permintaan Penjelasan;SP2;0;2023;Sanksi;;;;;
AKKU;18/01/2023 00:00;Permintaan Penjelasan;SP1;0;2023;Sanksi;;;;;
ETWA;18/01/2023 00:00;Permintaan Penjelasan;SP1;0;2023;Sanksi;;;;;
ETWA;18/01/2023 00:00;Permintaan Penjelasan;SP1;0;2023;Sanksi;;;;;
DPUM;19/01/2023 00:00;Permintaan Penjelasan;SP1;;2023;Sanksi;;;;;
BCIC;20/01/2023 00:00;Keterbukaan Informasi;SP1;;2023;Sanksi;;;;;
CPRI;20/01/2023 00:00;Public Expose;SP1;;2023;Sanksi;;;;;
MDRN;30/01/2023 00:00;Permintaan Penjelasan;SP3;;2023;Sanksi;;;;;
NTBK;30/01/2023 00:00;Permintaan Penjelasan;SP1;;2023;Sanksi;;;;;
ENVY;31/01/2023 00:00;Permintaan Penjelasan;SP1;0;2023;Sanksi;;;;;
URBN;02/02/2023 00:00;Permintaan Penjelasan;SP1;;2023;Sanksi;;;;;
FLMC;02/02/2023 00:00;Permintaan Penjelasan;SP2;0;2023;Sanksi;;;;;
ARII;02/02/2023 00:00;Salah Saji Laporan Keuangan;SP2;50000000;2023;Sanksi;;;;;
TDPM;03/02/2023 00:00;Permintaan Penjelasan;SP1;;2023;Sanksi;;;;;
MTRA;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
NUSA;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
NUSA;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
PANI;07/02/2023 00:00;Laporan Keuangan;SP1;;2023;Sanksi;;;;;
PLAN;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
PLAS;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
PLAS;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
PURE;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
RIMO;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
RIMO;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
SIMA;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
SKYB;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
SKYB;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
SUGI;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
SUGI;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
TAYS;07/02/2023 00:00;Permintaan Penjelasan;SP1;;2023;Sanksi;;;;;
TDPM;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
TDPM;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
TRAM;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
TRAM;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
TRIL;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
TRIL;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
UNIT;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
UNIT;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
WSBP;07/02/2023 00:00;Laporan Keuangan;SP1;;2023;Sanksi;;;;;
SIMA;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
MAGP;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
LMAS;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
ARMY;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
ARMY;07/02/2023 00:00;Public Expose;SP3;10000000;2023;Sanksi;;;;;
BUVA;07/02/2023 00:00;Laporan Keuangan;SP3;150000000;2023;Sanksi;;;;;
