Nama Perusahaan;Tanggal Masuk;Tanggal Keluar;Kriteria;Kode;Tahun;Sumber
ONIX CAPITAL Tbk;19-Jul-21;;2, 3, 5, 7;OCAP;2021;Pemantauan
PT Garuda Maintenance Facility Aero Asia Tbk.;29-Jul-21;;5;GMFI;2021;Pemantauan
PT Jaya Swarasa Agung Tbk;09-Nov-22;09 Des 2022;10;TAYS;2022;Pemantauan
PT Maharaksa Biru Energi Tbk;17-Nov-22;18-Apr-23;3;OASA;2022;Pemantauan
PT PP Properti Tbk.;30-Nov-22;;1;PPRO;2022;Pemantauan
PT Putra Rajawali Kencana Tbk.;30-Nov-22;;1;PURA;2022;Pemantauan
PT Karya Bersama Anugerah Tbk;30-Nov-22;;1;KBAG;2022;Pemantauan
PT DMS Propertindo Tbk.;30-Nov-22;;1;KOTA;2022;Pemantauan
PT Kresna Graha Investama Tbk.;30-Nov-22;;1;KREN;2022;Pemantauan
PT Arkha Jayanti Persada Tbk.;30-Nov-22;;1;ARKA;2022;Pemantauan
PT Mitra Angkasa Sejahtera Tbk;30-Nov-22;;1;BAUT;2022;Pemantauan
PT Bank Pembangunan Daerah Banten Tbk.;30-Nov-22;;1;BEKS;2022;Pemantauan
Bayu Buana Tbk;30-Nov-22;31 Mei 2023;7;BAYU;2022;Pemantauan
Gema Grahasarana Tbk;30-Nov-22;31 Mei 2023;7;GEMA;2022;Pemantauan
PT Nusatama Berkah Tbk;30-Nov-22;30-Nov-23;1;NTBK;2022;Pemantauan
TUNAS ALFIN Tbk;30-Nov-22;30-Nov-23;7;TALF;2022;Pemantauan
KDB Tifa Finance Tbk;30-Nov-22;16-Jul-25;7;TIFA;2022;Pemantauan
PT Ginting Jaya Energi Tbk;30-Nov-22;29 Agt 2025;1;WOWS;2022;Pemantauan
PT Net Visi Media Tbk;14-Mar-23;09-Apr-25;5;NETV;2023;Pemantauan
Indo Straits Tbk;21-Mar-23;26-Apr-23;10;PTIS;2023;Pemantauan
PT Pelita Teknologi Global Tbk;06-Apr-23;08 Mei 2023;10;CHIP;2023;Pemantauan
PT Centratama Telekomunikasi Indonesia Tbk.;18-Apr-23;09-Apr-25;5;CENT;2023;Pemantauan
PT Sumber Mas Konstruksi Tbk;17-Jul-23;18 Agt 2023;10;SMKM;2023;Pemantauan
Garda Tujuh Buana Tbk;21-Sep-23;23 Okt 2023;10;GTBO;2023;Pemantauan
PT Dewi Shri Farmindo Tbk;25-Sep-23;26 Okt 2023;10;DEWI;2023;Pemantauan
PT Terregra Asia Energy;03-Nov-23;;1, 3;TGRA;2023;Pemantauan
PT Kota Satu Properti Tbk.;07-Nov-23;07 Des 2023;10;SATU;2023;Pemantauan
Pioneerindo Gourmet International Tbk;29-Nov-23;29 Des 2023;10;PTSP;2023;Pemantauan
PT Red Planet Indonesia Tbk;30-Nov-23;;1;PSKT;2023;Pemantauan
Minna Padi Investama Sekuritas Tbk;30-Nov-23;;1;PADI;2023;Pemantauan
Pan Brothers Tbk;30-Nov-23;;1;PBRX;2023;Pemantauan
PT Pool Advista Finance Tbk.;30-Nov-23;;1;POLA;2023;Pemantauan
PT Andalan Perkasa Abadi Tbk;30-Nov-23;;1;NASA;2023;Pemantauan
Mitra International Resources Tbk;30-Nov-23;;1;MIRA;2023;Pemantauan
Modern Internasional Tbk;30-Nov-23;;1, 5;MDRN;2023;Pemantauan
Leyand International Tbk;30-Nov-23;;1;LAPD;2023;Pemantauan
PT Indo Komoditi Korpora Tbk;30-Nov-23;;1;INCF;2023;Pemantauan
Intraco Penta Tbk;30-Nov-23;;1, 5;INTA;2023;Pemantauan
Keramika Indonesia Assosiasi Tbk;30-Nov-23;;1;KIAS;2023;Pemantauan
PT Morenzo Abadi Perkasa Tbk;30-Nov-23;;1;ENZO;2023;Pemantauan
PT Megalestari Epack Sentosaraya Tbk.;30-Nov-23;;1;EPAC;2023;Pemantauan
PT Sinergi Inti Plastindo Tbk.;30-Nov-23;;1;ESIP;2023;Pemantauan
Ever Shine Textile Industry Tbk;30-Nov-23;;1;ESTI;2023;Pemantauan
PT Himalaya Energi Perkasa Tbk;30-Nov-23;;1;HADE;2023;Pemantauan
PT Hensel Davest Indonesia Tbk;30-Nov-23;;1;HDIT;2023;Pemantauan
PT Asuransi Maximus Graha Persada Tbk.;30-Nov-23;;1;ASMI;2023;Pemantauan
Sidomulyo Selaras Tbk;30-Nov-23;;1;SDMU;2023;Pemantauan
Pikko Land Development Tbk;30-Nov-23;;1;RODA;2023;Pemantauan
PT Lancartama Sejati Tbk.;30-Nov-23;;1;TAMA;2023;Pemantauan
PT Pelayaran Tamarin Samudra Tbk.;30-Nov-23;;1;TAMU;2023;Pemantauan
PT Agung Semesta Sejahtera Tbk;30-Nov-23;;1;TARA;2023;Pemantauan
PT Waskita Beton Precast Tbk.;30-Nov-23;;1, 5;WSBP;2023;Pemantauan
PT Yelooo Integra Datanet Tbk.;30-Nov-23;;1;YELO;2023;Pemantauan
Yanaprima Hastapersada Tbk;30-Nov-23;;7;YPAS;2023;Pemantauan
PT Bersama Zatta Jaya Tbk;30-Nov-23;;1;ZATA;2023;Pemantauan
PT Boston Furniture Industries Tbk..;30-Nov-23;01 Des 2023;1;SOFA;2023;Pemantauan
PT Mitra Tirta Buwana Tbk;30-Nov-23;01 Des 2023;1;SOUL;2023;Pemantauan
PT Agung Menjangan Mas Tbk;30-Nov-23;01 Des 2023;1;AMMS;2023;Pemantauan
PT Lavender Bina Cendikia Tbk;30-Nov-23;01 Des 2023;1;BMBL;2023;Pemantauan
PT Minahasa Membangun Hebat Tbk;30-Nov-23;01 Des 2023;1;HBAT;2023;Pemantauan
PT Isra Presisi Indonesia Tbk;30-Nov-23;01 Des 2023;1;ISAP;2023;Pemantauan
PT Multisarana Intan Eduka Tbk;30-Nov-23;01 Des 2023;1;MSIE;2023;Pemantauan
PT Oscar Mitra Sukses Sejahtera Tbk;30-Nov-23;01 Des 2023;1;OLIV;2023;Pemantauan
PT Planet Properindo Jaya Tbk;30-Nov-23;01 Des 2023;1;PLAN;2023;Pemantauan
PT Nanotech Indonesia Global Tbk;30-Nov-23;01 Des 2023;1;NANO;2023;Pemantauan
PT Ifishdeco Tbk.;30-Nov-23;31 Mei 2024;7;IFSH;2023;Pemantauan
PT Falmaco Nonwoven Industri Tbk;30-Nov-23;31 Mei 2024;7;FLMC;2023;Pemantauan
PT Batavia Prosperindo Internasional Tbk.;30-Nov-23;31 Mei 2024;7;BPII;2023;Pemantauan
PT Wulandari Bangun Laksana Tbk;30-Nov-23;31 Mei 2024;1;BSBK;2023;Pemantauan
Yulie Sekuritas Indonesia Tbk;30-Nov-23;31 Mei 2024;7;YULE;2023;Pemantauan
PT Dua Putra Utama Makmur Tbk.;30-Nov-23;29-Nov-24;1;DPUM;2023;Pemantauan
PT Petrindo Jaya Kreasi Tbk;16-Jan-24;16-Feb-24;10;CUAN;2024;Pemantauan
Garuda Indonesia (Persero) Tbk;30-Jan-24;;5;GIAA;2024;Pemantauan
Hotel Sahid Jaya Tbk;30-Jan-24;01-Mar-24;10;SHID;2024;Pemantauan
PT Northcliff Citranusa Indonesia Tbk.;31-Jan-24;;6, 7;SKYB;2024;Pemantauan
PT Solusi Bangun Indonesia Tbk;31-Jan-24;;6;SMCB;2024;Pemantauan
Trikomsel Oke Tbk;31-Jan-24;;5, 6, 7;TRIO;2024;Pemantauan
PT Jaya Bersama Indo Tbk.;31-Jan-24;;6, 7;DUCK;2024;Pemantauan
PT Eureka Prima Jakarta Tbk.;31-Jan-24;;6, 7;LCGP;2024;Pemantauan
Lionmesh Prima Tbk;31-Jan-24;;6, 7;LMSH;2024;Pemantauan
PT Kirana Megatara Tbk.;31-Jan-24;07-Mar-24;6;KMTR;2024;Pemantauan
Jaya Agra Wattie Tbk;31-Jan-24;04-Apr-24;6;JAWA;2024;Pemantauan
PT Supreme Cable Manufacturing & Commerce Tbk;31-Jan-24;04-Apr-24;6;SCCO;2024;Pemantauan
PT Selaras Citra Nusantara Perkasa Tbk;31-Jan-24;29-Apr-24;6;SCNP;2024;Pemantauan
Goodyear Indonesia Tbk;31-Jan-24;21 Mei 2024;6;GDYR;2024;Pemantauan
