Kode,Nama Perusahaan,Tanggal Pencatatan
AADI,PT Adaro Andalan Indonesia Tbk,05/12/2024
ACRO,PT Samcro Hyosung Adilestari Tbk.,11/01/2024
ADMF,Adira Dinamika Multi Finance Tbk,31/03/2004
ADMR,PT Alamtri Minerals Indonesia Tbk,03/01/2022
ADRO,Alamtri Resources Indonesia Tbk,16/07/2008
AEGS,PT Anugerah Spareparts Sejahtera Tbk.,11/09/2023
AGRO,PT Bank Raya Indonesia Tbk,08/08/2003
AKRA,PT AKR Corporindo Tbk.,03/10/1994
ALII,PT Ancara Logistics Indonesia Tbk,07/02/2024
AMOR,PT Ashmore Asset Management Indonesia Tbk.,14/01/2020
ANTM,Aneka Tambang Tbk.,27/11/1997
APEX,Apexindo Pratama Duta Tbk,05/06/2013
APLI,Asiaplast Industries Tbk,01/05/2000
APLN,PT Agung Podomoro Land Tbk.,11/11/2010
ARNA,Arwana Citramulia Tbk,17/07/2001
ARTO,PT Bank Jago Tbk.,12/01/2016
ASDM,Asuransi Dayin Mitra Tbk,15/12/1989
ASII,Astra International Tbk,04/04/1990
ASPR,PT Asia Pramulia Tbk,08/07/2025
ASSA,Adi Sarana Armada Tbk,12/11/2012
AVIA,PT Avia Avian Tbk,08/12/2021
AWAN,PT Era Digital Media Tbk,18/04/2023
BACA,PT Bank Capital Indonesia Tbk,04/10/2007
BALI,PT Bali Towerindo Sentra Tbk.,13/03/2014
BATR,PT Benteng Api Technic Tbk,10/06/2024
BBCA,PT Bank Central Asia Tbk.,31/05/2000
BBHI,PT Allo Bank Indonesia Tbk,12/08/2015
BBLD,Buana Finance Tbk,07/05/1990
BBMD,PT Bank Mestika Dharma Tbk.,08/07/2013
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,10/11/2003
BBTN,PT Bank Tabungan Negara (Persero) Tbk,17/12/2009
BBYB,PT Bank Neo Commerce Tbk.,13/01/2015
BDMN,PT Bank Danamon Indonesia Tbk,06/12/1989
BELI,PT Global Digital Niaga Tbk,08/11/2022
BEST,Bekasi Fajar Industrial Estate Tbk,10/04/2012
BFIN,BFI Finance Indonesia Tbk,16/05/1990
BGTG,PT Bank Ganesha Tbk.,12/05/2016
BHAT,PT Bhakti Multi Artha Tbk.,15/04/2020
BINA,PT Bank Ina Perdana Tbk.,16/01/2014
BIRD,PT Blue Bird Tbk,05/11/2014
BISI,BISI INTERNATIONAL Tbk,28/05/2007
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,08/07/2010
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk,12/07/2012
BLOG,PT Trimitra Trans Persada Tbk,10/07/2025
BLTZ,PT Graha Layar Prima Tbk.,10/04/2014
BMHS,PT Bundamedik Tbk,06/07/2021
BNBA,Bank Bumi Arta Tbk,01/06/2006
BNGA,PT Bank CIMB Niaga Tbk,29/11/1989
BNII,PT Bank Maybank Indonesia Tbk,21/11/1989
BNLI,Bank Permata Tbk,15/01/1990
BOAT,PT Newport Marine Services Tbk,12/11/2024
BOBA,PT Formosa Ingredient Factory Tbk,01/11/2021
BPTR,PT Batavia Prosperindo Trans Tbk.,09/07/2018
BRPT,Barito Pacific Tbk,01/10/1993
BSDE,PT Bumi Serpong Damai Tbk,06/06/2008
BSIM,Bank Sinarmas Tbk,13/12/2010
BUDI,PT Budi Starch & Sweetener Tbk.,08/05/1995
BUKK,Bukaka Teknik Utama Tbk,29/06/2015
BUMI,Bumi Resources Tbk,30/07/1990
CBDK,PT Bangun Kosambi Sukses Tbk,13/01/2025
CBPE,PT Citra Buana Prasida Tbk,06/01/2023
CFIN,Clipan Finance Indonesia Tbk,27/08/1990
CHEK,PT Diastika Biotekindo Tbk,10/07/2025
CMRY,PT Cisarua Mountain Dairy Tbk,06/12/2021
CNKO,Exploitasi Energi Indonesia Tbk,20/11/2001
CNMA,PT Nusantara Sejahtera Raya Tbk,02/08/2023
CPIN,Charoen Pokphand Indonesia Tbk,18/03/1991
CRAB,PT Toba Surimi Industries Tbk,10/08/2022
CSAP,Catur Sentosa Adiprana Tbk,12/12/2007
CSRA,PT Cisadane Sawit Raya Tbk.,09/01/2020
DCII,PT DCI Indonesia Tbk,06/01/2021
DEPO,PT Caturkarda Depo Bangunan Tbk,25/11/2021
DFAM,PT Dafam Property Indonesia Tbk,27/04/2018
DILD,Intiland Development Tbk,04/09/1991
DIVA,PT Distribusi Voucher Nusantara Tbk,27/11/2018
DMMX,PT Digital Mediatama Maxima Tbk,21/10/2019
DNET,PT Indoritel Makmur Internasional Tbk.,11/12/2000
DOSS,PT Global Sukses Digital Tbk,07/08/2024
DSFI,Dharma Samudera Fishing Ind. Tbk,24/03/2000
DSNG,PT Dharma Satya Nusantara Tbk.,14/06/2013
DUTI,Duta Pertiwi Tbk,02/11/1994
DVLA,Darya-Varia Laboratoria Tbk,11/11/1994
EAST,PT Eastparc Hotel Tbk,09/07/2019
EDGE,PT Indointernet Tbk.,08/02/2021
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,08/08/2022
ELSA,Elnusa Tbk,06/02/2008
EMTK,Elang Mahkota Teknologi Tbk,12/01/2010
ERAL,PT Sinar Eka Selaras Tbk,08/08/2023
ERTX,Eratex Djaja Tbk,21/08/1990
EXCL,PT XLSMART Telecom Sejahtera Tbk,29/09/2005
FILM,PT MD Entertainment Tbk,07/08/2018
FOLK,PT Multi Garam Utama Tbk.,07/08/2023
FORE,PT Fore Kopi Indonesia Tbk,14/04/2025
FPNI,PT Lotte Chemical Titan Tbk.,21/03/2002
FUJI,PT Fuji Finance Indonesia Tbk.,09/07/2019
FWCT,PT Wijaya Cahaya Timber Tbk,01/02/2023
GLOB,PT Globe Kita Terang Tbk,10/07/2012
GOLF,PT Intra GolfLink Resorts Tbk,08/07/2024
GOOD,PT Garudafood Putra Putri Jaya Tbk.,10/10/2018
GRPH,PT Griptha Putra Persada Tbk.,17/01/2024
GSMF,Equity Development Investment Tbk,23/10/1989
GTRA,PT Grahaprima Suksesmandiri Tbk,30/03/2023
GTSI,PT GTS Internasional Tbk,08/09/2021
GULA,PT Aman Agrindo Tbk,03/08/2022
GZCO,Gozco Plantations Tbk,15/05/2008
HAIS,PT Hasnur Internasional Shipping Tbk,01/09/2021
HAJJ,PT Arsy Buana Travelindo Tbk,05/04/2023
HATM,PT Habco Trans Maritima Tbk,26/07/2022
HDFA,Radana Bhaskara Finance Tbk,10/05/2011
HEAL,PT Medikaloka Hermina Tbk.,16/05/2018
HEXA,Hexindo Adiperkasa Tbk,13/02/1995
HGII,PT Hero Global Investment Tbk,09/01/2025
HMSP,HM Sampoerna Tbk,15/08/1990
HOKI,PT Buyung Poetra Sembada Tbk.,22/06/2017
HRUM,Harum Energy Tbk,06/10/2010
HUMI,PT Humpuss Maritim Internasional Tbk,09/08/2023
ICBP,Indofood CBP Sukses Makmur Tbk,07/10/2010
IDEA,PT Idea Indonesia Akademi Tbk,09/09/2021
IDPR,PT Indonesia Pondasi Raya Tbk.,10/12/2015
IFII,PT Indonesia Fibreboard Industry Tbk,10/12/2019
IGAR,Champion Pacific Indonesia Tbk,05/11/1990
IKAI,Intikeramik Alamasri Industri Tbk,04/06/1997
IMAS,Indomobil Sukses Internasional Tbk,15/11/1993
INAI,Indal Aluminium Industry Tbk,05/12/1994
INDF,Indofood Sukses Makmur Tbk,14/07/1994
INOV,PT Inocycle Technology Group Tbk.,10/07/2019
INTD,Inter-Delta Tbk,18/12/1989
IPCM,PT Jasa Armada Indonesia Tbk.,22/12/2017
ISAT,PT Indosat Tbk,19/10/1994
ISEA,PT Indo American Seafoods Tbk,08/07/2024
ITIC,PT Indonesian Tobacco Tbk.,04/07/2019
ITMG,Indo Tambangraya Megah Tbk,18/12/2007
JGLE,PT Graha Andrasentra Propertindo Tbk.,29/06/2016
JKON,Jaya Konstruksi Manggala Pratama Tbk,04/12/2007
JPFA,JAPFA Comfeed Indonesia Tbk,23/10/1989
JRPT,Jaya Real Property Tbk,29/06/1994
JTPE,Jasuindo Tiga Perkasa Tbk,16/04/2002
KBLI,KMI Wire and Cable Tbk,06/07/1992
KBLM,Kabelindo Murni Tbk,01/06/1992
KBLV,First Media Tbk,25/02/2000
KICI,Kedaung Indah Can Tbk,28/10/1993
KINO,PT Kino Indonesia Tbk,11/12/2015
KKGI,Resource Alam Indonesia Tbk,01/07/1991
KLBF,Kalbe Farma Tbk,30/07/1991
KOBX,Kobexindo Tractors Tbk,05/07/2012
KOCI,PT Kokoh Exa Nusantara,07/10/2023
LPCK,Lippo Cikarang Tbk,24/07/1997
LPIN,Multi Prima Sejahtera Tbk,05/02/1990
LPKR,Lippo Karawaci Tbk,28/06/1996
LPLI,Star Pacific Tbk,23/10/1989
LPPF,Matahari Department Store Tbk,09/10/1989
LSIP,PP London Sumatra Indonesia Tbk,05/07/1996
LTLS,PT Lautan Luas Tbk,21/07/1997
LUCY,PT Lima Dua Lima Tiga Tbk,05/05/2021
MAHA,PT Mandiri Herindo Adiperkasa Tbk,25/07/2023
MAIN,Malindo Feedmill Tbk,10/02/2006
MARK,PT Mark Dynamics Indonesia Tbk.,12/07/2017
MASB,PT Bank Multiarta Sentosa Tbk,30/06/2021
MBSS,Mitrabahtera Segara Sejati Tbk,06/04/2011
MCAS,PT M Cash Integrasi Tbk,01/11/2017
MCOL,PT Prima Andalan Mandiri Tbk,07/09/2021
MCOR,PT Bank China Construction Bank Indonesia Tbk,03/07/2007
MDIY,PT Daya Intiguna Yasa Tbk,19/12/2024
MDKI,PT Emdeki Utama Tbk,25/09/2017
MDLA,PT Medela Potentia Tbk,15/04/2025
MDLN,PT Modernland Realty Tbk.,18/01/1993
MEGA,Bank Mega Tbk,17/04/2000
MERI,PT Merry Riana Edukasi Tbk,10/07/2025
MGRO,PT Mahkota Group Tbk.,12/07/2018
MICE,Multi Indocitra Tbk,21/12/2005
MIDI,Midi Utama Indonesia Tbk,30/11/2010
MIKA,PT Mitra Keluarga Karyasehat Tbk.,24/03/2015
MINE,PT Sinar Terang Mandiri Tbk,10/03/2025
MITI,Mitra Investindo Tbk,16/07/1997
